순번,학부(과),대상학년,수업방법,교과목명,이수구분,교과목코드,분반,학점,이론,실습,교수명,캠퍼스구분,강의시간/강의실,원격강의구분,비고
1,교직일반_논문,전학기,대면수업,한국교육의 역사,교직,SPG6824,01,2,2,0,이원재,신촌캠퍼스,월1[교302],,
2,교직일반_논문,전학기,대면수업,교사의인식및실천연구,교직,SPG6858,01,2,2,0,임웅,신촌캠퍼스,화1[교304],,영어강의
3,교직일반_논문,전학기,대면수업,교육자를위한인공지능입문,교직,SPG6867,01,2,2,0,강근영,신촌캠퍼스,목1[교302],,
4,교직일반_논문,전학기,대면수업,학습과학,교직,SPG6862,01,2,2,0,이희승,신촌캠퍼스,화1[교310],,
5,교직일반_논문,전학기,대면수업,연세와교사의사명,교직,SPG6860,01,2,2,0,곽호철,신촌캠퍼스,월3[교603],,
6,교직일반_논문,전학기,대면수업,박물관교육,교직,SPG6864,01,2,2,0,국성하,신촌캠퍼스,화3[교405],,
7,교직일반_논문,전학기,대면수업,교사론,교직,SPG6863,01,2,2,0,국성하,신촌캠퍼스,목3[교404],,
8,교직일반_논문,전학기,대면수업,교육현장을위한문학읽기,교직,SPG6869,01,2,2,0,곽수범,신촌캠퍼스,월3[교601],,
9,교직일반_논문,전학기,대면수업,교육과일의세계,교직,SPG6838,01,2,2,0,한수정,신촌캠퍼스,화3[교302],,
10,교직일반_논문,전학기,대면수업,교육자를위한인공지능과코딩기초,교직,SPG6868,01,2,2,0,한수연,신촌캠퍼스,목3[교304],,영어강의
11,교직일반_논문,전학기,대면수업,인공지능시대의과학기술과교육,교직,SPG6859,01,2,2,0,임웅,신촌캠퍼스,화3[교304],,영어강의
12,교직일반_논문,전학기,대면수업,학습동기,교직,SPG6853,01,2,2,0,김은주,신촌캠퍼스,화3[위204],,
13,교직일반_논문,전학기,대면수업,영재교육의이론과실제,교직,SPG6831,01,2,2,0,윤성로,신촌캠퍼스,화3[교306],,
14,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육프로그램개발론,교직,SPL6691,001,2,2,0,최유연,신촌캠퍼스,화1[교402],,
15,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육실습,교직,SPL6692,001,2,2,0,한수정,신촌캠퍼스,목1[교404],,
16,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육론,교직,SPL6650,001,2,2,0,이상오,신촌캠퍼스,화1[교404],,
17,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육방법론,교직,SPL6690,001,2,2,0,임현민,신촌캠퍼스,목1[교402],,
18,"교직이론및교직소양(교원자격증)-3,4",전학기,대면수업,평생교육경영론,교직,SPL6684,001,2,2,0,신경석,신촌캠퍼스,화1[교405],,
19,교육공학,전학기,대면수업,교수학습이론,전공,SET6602,01,2,2,0,이명근,신촌캠퍼스,월1[교606],,
20,교육공학,전학기,대면수업,AI교육공학기초,전공,SET6608,01,2,2,0,김남주,신촌캠퍼스,화1[교606],,
21,교육공학,전학기,대면수업,원격교육론,선택,SET6652,01,2,2,0,이지영,신촌캠퍼스,목1[교606],,
22,교육공학,전학기,대면수업,교육공학연구자료분석,선택,SET6678,01,2,2,0,박종화,신촌캠퍼스,월3[교606],,
23,교육공학,전학기,대면수업,기업교육공학연구,선택,SET6673,01,2,2,0,백평구,신촌캠퍼스,화3[교606],,
24,교육행정,전학기,대면수업,"다문화교육현장사례연구*
(구:교육현장연구방법)",선택,SMI6522,01,2,2,0,박순용,신촌캠퍼스,화1[교519],,
25,교육행정,전학기,대면수업,교육정치학,선택,SEM7814,01,2,2,0,박대권,신촌캠퍼스,화3[백S113],,
26,교육행정,전학기,대면수업,대학행정론,선택,SEM7787,01,2,2,0,이인서,신촌캠퍼스,목3[백S206],,
27,국어교육,전학기,대면수업,문학이론,전공,SKE6501,01,2,2,0,조강석,신촌캠퍼스,월1[백S608],,
28,국어교육,전학기,대면수업,현대비평문학교육론,선택,SKE6554,01,2,2,0,임유경,신촌캠퍼스,화1[백S604],,
29,국어교육,전학기,대면수업,국어이해교육론,교직,SKE6594,01,2,2,0,곽수범,신촌캠퍼스,목1[교304],,
30,국어교육,전학기,대면수업,한국구전동화읽기,선택,SKE6561,01,2,2,0,김영희,신촌캠퍼스,월1[백S604],,
31,국어교육,전학기,대면수업,언어학이론,선택,SKE6541,01,2,2,0,조운성,신촌캠퍼스,월3[백S604],,
32,국어교육,전학기,대면수업,국어정책론,선택,SKE6577,01,2,2,0,조태린,신촌캠퍼스,화3[백S604],,
33,국어교육,전학기,대면수업,고전기초강독,전공,SKE6507,01,2,2,0,이미라,신촌캠퍼스,목3[백S604],,
34,다문화국제이해교육,전학기,대면수업,세계시민교육과지속가능발전,선택,SMI6529,01,2,2,0,박수연,신촌캠퍼스,월1[백S206],,
35,다문화국제이해교육,전학기,대면수업,"다문화교육현장사례연구*
(구:교육현장연구방법)",선택,SMI6522,01,2,2,0,박순용,신촌캠퍼스,화1[교519],,
36,다문화국제이해교육,전학기,대면수업,다문화사회의학교교육,전공,SMI6503,01,2,2,0,차보은,신촌캠퍼스,목1[교601],,
37,다문화국제이해교육,전학기,대면수업,지역사회와사회통합,선택,SMI6525,01,2,2,0,오덕열,신촌캠퍼스,목3[교306],,
38,사서교육,전학기,대면수업,학교도서관의최근동향,선택,SLI6579,01,2,2,0,김기영,신촌캠퍼스,월1[위416],,
39,사서교육,전학기,대면수업,인공지능의이해,선택,SLI6581,01,2,2,0,"송민,이수빈",신촌캠퍼스,화1[위416],,
40,사서교육,전학기,대면수업,목록학,전공,SLI6504,01,2,2,0,조성원,신촌캠퍼스,목1[위416],,
41,사서교육,전학기,대면수업,장서구성론,선택,SLI6567,01,2,2,0,안다인,신촌캠퍼스,월3[위416],,
42,사서교육,전학기,대면수업,학술커뮤니케이션론,선택,SLI6545,01,2,2,0,김승희,신촌캠퍼스,화3[위416],,
43,상담교육,전학기,대면수업,상담이론과실제,전공,SCE6506,01,2,2,0,서영석,신촌캠퍼스,월1[교405],,
44,상담교육,전학기,대면수업,행동수정,교직,SCE6593,01,2,2,0,정경미,신촌캠퍼스,화1[백S111],,
45,상담교육,전학기,대면수업,상담교육연구방법,전공,SCE6504,01,2,2,0,이규민,신촌캠퍼스,목1[교603],,
46,상담교육,전학기,대면수업,집단상담,전공,SCE6505,01,2,2,0,고성숙,신촌캠퍼스,목1[백S108],,
47,상담교육,전학기,대면수업,집단상담,전공,SCE6505,02,2,2,0,박남숙,신촌캠퍼스,목1[백S108],,
48,상담교육,전학기,대면수업,상담실습및사례연구,선택,SCE6577,01,2,2,0,안하얀,신촌캠퍼스,월3[백S108],,
49,상담교육,전학기,대면수업,진로상담,선택,SCE6573,01,2,2,0,양현정,신촌캠퍼스,화3[백S111],,
50,상담교육,전학기,대면수업,아동발달,교직,SCE6591,01,2,2,0,이현아,신촌캠퍼스,목3[백S111],,
51,상담교육,전학기,대면수업,특수아상담,교직,SCE6594,01,2,2,0,이아영,신촌캠퍼스,화3[백S402],,
52,수학교육,전학기,대면수업,수학교육연구방법론,선택,SME6561,01,2,2,0,임웅,신촌캠퍼스,월1[교304],,
53,수학교육,전학기,대면수업,미분기하,전공,SME6502,01,2,2,0,양민석,신촌캠퍼스,화1[과225],,
54,수학교육,전학기,대면수업,선형대수,선택,SME6545,01,2,2,0,윤명호,신촌캠퍼스,월3[과225],,
55,수학교육,전학기,대면수업,수학교재연구및지도법,교직,SME6592,01,2,2,0,한수연,신촌캠퍼스,화3[교603],,
56,역사교육,전학기,대면수업,중국고중세사탐구,선택,SHE6534,01,2,2,0,차혜원,신촌캠퍼스,월1[백S503],,
57,역사교육,전학기,대면수업,역사학과논술교육,교직,SHE6593,01,2,2,0,오정현,신촌캠퍼스,화1[백S503],,
58,역사교육,전학기,대면수업,한국현대사와분단체제,선택,SHE6547,01,2,2,0,김성보,신촌캠퍼스,목1[백S503],,
59,역사교육,전학기,대면수업,한국중세지성사,선택,SHE6528,01,2,2,0,도현철,신촌캠퍼스,월3[백S503],,
60,영양교육,전학기,대면수업,식품학특론,전공,SNT6602,01,2,2,0,채선희,신촌캠퍼스,월1[백S402],,
61,영양교육,전학기,대면수업,영양생리학특론,선택,SNT6665,01,2,2,0,임주원,신촌캠퍼스,화1[백S402],,
62,영양교육,전학기,대면수업,식품위생학특론,선택,SNT6656,01,2,2,0,석용희,신촌캠퍼스,목1[백S402],,
63,영양교육,전학기,대면수업,영양과면역,선택,SNT6675,01,2,2,0,김우기,신촌캠퍼스,월3[백S402],,
64,영양교육,전학기,대면수업,통계분석및실습,선택,SNT6671,01,2,2,0,김지영,신촌캠퍼스,화3[교516],,
65,영어교육,전학기,대면수업,영국문학개관,전공,SEE6504,01,2,2,0,김재철,신촌캠퍼스,월1[백S408],,
66,영어교육,전학기,대면수업,영어교재연구및지도법,교직,SEE6592,01,2,2,0,김미자,신촌캠퍼스,화1[백S408],,
67,영어교육,전학기,대면수업,영어리터러시교수법,선택,SEE6584,01,2,2,0,이민진,신촌캠퍼스,목1[백S404],,
68,영어교육,전학기,대면수업,영어구조론,선택,SEE6564,01,2,2,0,박홍근,신촌캠퍼스,목1[백S408],,
69,영어교육,전학기,대면수업,영어교육론,교직,SEE6591,01,2,2,0,이희경,신촌캠퍼스,월3[교306],,
70,영어교육,전학기,대면수업,영어교육평가,선택,SEE6579,01,2,2,0,이희경,신촌캠퍼스,화3[교517],,
71,영어교육,전학기,대면수업,영어어휘및문법지도법,교직,SEE6585,01,2,2,0,최현규,신촌캠퍼스,목3[백S408],,
72,외국어로서의한국어교육,전학기,대면수업,한국어교육과정설계,교직,STK6596,01,2,2,0,강승혜,신촌캠퍼스,월1[교402],,
73,외국어로서의한국어교육,전학기,대면수업,한국어의이해,전공,STK6602,01,2,2,0,유현경,신촌캠퍼스,화1[백S106],,
74,외국어로서의한국어교육,전학기,대면수업,대조언어학,선택,STK6554,01,2,2,0,원미진,신촌캠퍼스,목1[백S106],,
75,외국어로서의한국어교육,전학기,대면수업,한국어문법교육론,선택,STK6537,01,2,2,0,강현화,신촌캠퍼스,화1[백S106],,
76,외국어로서의한국어교육,전학기,대면수업,한국문화의이해,선택,STK6546,01,2,2,0,김찬호,신촌캠퍼스,월3[백S106],,
77,외국어로서의한국어교육,전학기,대면수업,한국어교육실습,교직,STK6595,01,2,2,0,조인옥,신촌캠퍼스,화3[백S106],,
78,외국어로서의한국어교육,전학기,대면수업,한국어능력평가,선택,STK6574,01,2,2,0,김경선,신촌캠퍼스,목3[백S106],,
79,유아교육,전학기,대면수업,유아교육연구방법,전공,SCH6604,01,2,2,0,유영미,신촌캠퍼스,월1[삼206],,
80,유아교육,전학기,대면수업,유아교육과정연구,전공,SCH6603,01,2,2,0,신윤승,신촌캠퍼스,화1[삼206],,
81,유아교육,전학기,대면수업,유아교사교육론,교직,SCH6694,01,2,2,0,변수연,신촌캠퍼스,목1[삼206],,
82,유아교육,전학기,대면수업,유아교육및보육프로그램연구,교직,SCH6698,01,2,2,0,신혜영,신촌캠퍼스,화1[삼B110],,
83,유아교육,전학기,대면수업,유아언어교육연구,선택,SCH6641,01,2,2,0,이하연,신촌캠퍼스,월3[삼B110],,
84,유아교육,전학기,대면수업,유아놀이이론및교육,선택,SCH6644,01,2,2,0,조항린,신촌캠퍼스,화3[삼B110],,
85,유아교육,전학기,대면수업,영유아발달및교육,전공,SCH6602,01,2,2,0,김재희,신촌캠퍼스,목3[삼206],,
86,유아교육,전학기,대면수업,비교유아교육세미나,선택,SCH6671,01,2,2,0,김재희,신촌캠퍼스,월3[삼206],,
87,음악교육,전학기,대면수업,서양음악사(Ⅰ),전공,SMU6505,01,2,2,0,김현주,신촌캠퍼스,월1[음404],,
88,음악교육,전학기,대면수업,음악분석및형식론,선택,SMU6559,01,2,2,0,이홍석,신촌캠퍼스,화1[음102],,
89,음악교육,전학기,대면수업,화성법,전공,SMU6501,01,2,2,0,송무경,신촌캠퍼스,월1[음420],,
90,음악교육,전학기,대면수업,음악교재연구및지도법,교직,SMU6591,01,2,2,0,장지원,신촌캠퍼스,월1[음413],,
91,음악교육,전학기,대면수업,음악감상,선택,SMU6651,01,2,2,0,정종열,신촌캠퍼스,화1[음413],,
92,음악교육,전학기,대면수업,국악개론,전공,SMU6602,01,2,2,0,최선아,신촌캠퍼스,월3[음413],,
93,음악교육,전학기,대면수업,장구반주법,선택,SMU6545,01,2,2,0,김진혁,신촌캠퍼스,화3[교101],,
94,인적자원개발,전학기,대면수업,성인학습이론,전공,SHR6505,01,2,2,0,오석영,신촌캠퍼스,월1[교603],,
95,인적자원개발,전학기,대면수업,인적자원개발과인공지능,선택,SHR7519,01,2,2,0,이호진,신촌캠퍼스,화1[백S504],,
96,인적자원개발,전학기,대면수업,인적자원개발프로그램평가,선택,SHR6563,01,2,2,0,양숙형,신촌캠퍼스,목1[백S504],,
97,인적자원개발,전학기,대면수업,일터학습세미나,선택,SHR6586,01,2,2,0,김혁,신촌캠퍼스,월3[백S504],,
98,인적자원개발,전학기,대면수업,인적자원개발연구자료분석,교직,SHR6591,01,2,2,0,장지현,신촌캠퍼스,화3[백S504],,
99,인적자원개발,전학기,대면수업,기업문화와교육,선택,SHR7116,01,2,2,0,박재현,신촌캠퍼스,목3[백S504],,
100,일반사회교육,전학기,대면수업,경제와사회,전공,SSE6503,01,2,2,0,이상헌,신촌캠퍼스,화1[백S509],,
101,일반사회교육,전학기,대면수업,사회학특강,선택,SSE6539,01,2,2,0,장상철,신촌캠퍼스,목1[백S509],,
102,일반사회교육,전학기,대면수업,사회조사방법,전공,SSE6506,01,2,2,0,김종우,신촌캠퍼스,월3[백S509],,
103,일반사회교육,전학기,대면수업,사회정책론,선택,SSE6536,01,2,2,0,왕혜숙,신촌캠퍼스,화3[백S509],,
104,일반사회교육,전학기,대면수업,일반사회교재연구,교직,SSE6593,01,2,2,0,윤민희,신촌캠퍼스,목3[백S509],,
105,조기영어교육,전학기,대면수업,조기영어교육과통계학,선택,SEC6711,01,2,2,0,이민진,신촌캠퍼스,월1[백S404],,
106,조기영어교육,전학기,대면수업,조기영어교육연구방법론,전공,SEC6701,01,2,2,0,이희경,신촌캠퍼스,화1[교517],,
107,조기영어교육,전학기,대면수업,영어학개론,전공,SEC6606,01,2,2,0,김현우,신촌캠퍼스,목1[백S204],,
108,조기영어교육,전학기,대면수업,음성음운론과영어발음교육,전공,SEC6602,01,2,2,0,이석재,신촌캠퍼스,화3[외326-1],,
109,조기영어교육,전학기,대면수업,영어교육학특강,교직,SEC6694,01,2,2,0,이명신,신촌캠퍼스,목3[백S204],,
110,종교교육,전학기,대면수업,종교와문화,선택,SRE6552,01,2,2,0,김정형,신촌캠퍼스,월1[백S204],,
111,종교교육,전학기,대면수업,기독교교수-학습과정론,교직,SRE6597,01,2,2,0,황인혜,신촌캠퍼스,화1[백S204],,
112,종교교육,전학기,대면수업,종교교육사,선택,SRE6557,01,2,2,0,최은택,신촌캠퍼스,월3[백S204],,
113,종교교육,전학기,대면수업,종교교육론,전공,SRE6602,01,2,2,0,장윤석,신촌캠퍼스,화3[백S204],,
114,체육및여가교육,전학기,대면수업,운동생리학,전공,SPE6501,01,2,2,0,서상훈,신촌캠퍼스,월1[스포츠109],,
115,체육및여가교육,전학기,대면수업,체육교육론,교직,SPE6597,01,2,2,0,이한주,신촌캠퍼스,화1[스포츠315/구기장],,
116,체육및여가교육,전학기,대면수업,스포츠마케팅,선택,SPE6577,01,2,2,0,이준성,신촌캠퍼스,목1[스포츠109],,
117,체육및여가교육,전학기,대면수업,여가학의질적연구방법론,선택,SPE6612,01,2,2,0,이철원,신촌캠퍼스,월1[스포츠108],,
118,체육및여가교육,전학기,대면수업,체육교재연구및지도법,교직,SPE6596,01,2,2,0,권정아,신촌캠퍼스,월3[스포츠109],,
119,체육및여가교육,전학기,대면수업,운동상해재활,선택,SPE6576,01,2,2,0,이세용,신촌캠퍼스,화3[스포츠108],,
120,체육및여가교육,전학기,대면수업,스포츠카운셀링,선택,SPE6573,001,2,2,0,윤용진,신촌캠퍼스,목3[스포츠108],,
121,체육및여가교육,전학기,대면수업,뉴스포츠현장조사연구,선택,SPE6578,01,2,2,0,허진무,신촌캠퍼스,화3[스포츠109/구기장],,
122,통합과학교육,전학기,대면수업,지질학,선택,SGS6832,01,2,2,0,이기현,신촌캠퍼스,월1[과S222],,
123,통합과학교육,전학기,대면수업,일반지구과학및실험,전공,SGS6704,01,2,2,0,"한원식,송인선",신촌캠퍼스,화1[과S222],,
124,통합과학교육,전학기,대면수업,전자기학,전공,SGS6705,01,2,2,0,조두희,신촌캠퍼스,목1[과326],,
125,통합과학교육,전학기,대면수업,통합과학교육론,교직,SGS6695,01,2,2,0,"박태윤,장수철",신촌캠퍼스,월3[교311],,
126,통합과학교육,전학기,대면수업,통합과학교육논리및논술,교직,SGS6693,01,2,2,0,"박태윤,장수철",신촌캠퍼스,화3[교311],,
127,통합과학교육,전학기,대면수업,분자생물학,선택,SGS6831,01,2,2,0,최광민,신촌캠퍼스,목3[과S118A],,
128,통합과학교육,전학기,대면수업,무기화학,전공,SGS6707,01,2,2,0,안현서,신촌캠퍼스,월3[과523],,
129,통합과학교육,전학기,대면수업,일반생물학및실험,전공,SGS6703,01,2,2,0,이태호,신촌캠퍼스,화3[과S118A],,
130,평생교육경영,전학기,대면수업,평생교육경영학,전공,SLE7508,01,2,2,0,이상오,신촌캠퍼스,월1[교410],,
131,평생교육경영,전학기,대면수업,평생교육경영연구방법론,전공,SLE7506,01,2,2,0,한수정,신촌캠퍼스,화1[교308],,
132,평생교육경영,전학기,대면수업,평생교육의학습조직론,선택,SLE7555,01,2,2,0,최유연,신촌캠퍼스,월3[교304],,
133,평생교육경영,전학기,대면수업,평생교육의질적연구방법,선택,SLE7545,01,2,2,0,홍원표,신촌캠퍼스,화3[교601],,
134,평생교육경영,전학기,대면수업,성인학습및상담론,선택,SLE7564,01,2,2,0,임수원,신촌캠퍼스,목3[교517],,
135,AI융합교육,전학기,대면수업,빅데이터와교육,선택,SAE6521,01,2,2,0,한수연,신촌캠퍼스,월1[교517],,
136,AI융합교육,전학기,대면수업,AI활용융합교육방법,선택,SAE6527,01,2,2,0,한수연,신촌캠퍼스,화1[교603],,
137,AI융합교육,전학기,대면수업,인공지능기술과윤리,선택,SAE6526,01,2,2,0,임웅,신촌캠퍼스,월3[교517],,
138,AI융합교육,전학기,대면수업,딥러닝입문,선택,SAE6525,01,2,2,0,박헌우,신촌캠퍼스,화3[교614],,
139,공통,전학기,대면수업,연구방법론,전공,SPG6001,001,2,2,0,미정,신촌캠퍼스,토11,,원격수업상세참조
